sample	PC1	PC2	PC3	group	database
GSE13355|GSM337197	-6.110335297	-96.8903444	-30.62973444	NN	GSE13355
GSE13355|GSM337198	-3.435824685	-82.41899378	-33.90515235	NN	GSE13355
GSE13355|GSM337199	-1.220584324	-80.06870164	-39.92150976	NN	GSE13355
GSE13355|GSM337200	-4.772390048	-81.24152708	-46.49324024	NN	GSE13355
GSE13355|GSM337201	2.3867157236779	-76.86115585	-46.40119512	NN	GSE13355
GSE13355|GSM337202	-8.32365666	-89.09313331	-32.13616666	NN	GSE13355
GSE13355|GSM337203	-7.335750071	-88.81567097	-30.0067026	NN	GSE13355
GSE13355|GSM337204	-8.423322797	-89.79361069	-43.20459232	NN	GSE13355
GSE13355|GSM337205	-5.66302964	-84.70560895	-33.10842125	NN	GSE13355
GSE13355|GSM337206	-4.264437062	-84.3766608	-46.44065777	NN	GSE13355
GSE13355|GSM337207	-1.764952736	-84.61990034	-39.217709	NN	GSE13355
GSE13355|GSM337208	-9.76575927	-91.39434463	-25.77236564	NN	GSE13355
GSE13355|GSM337209	-7.993214833	-87.98052449	-28.94726986	NN	GSE13355
GSE13355|GSM337210	-1.980667417	-84.04499793	-36.99827789	NN	GSE13355
GSE13355|GSM337211	-4.676705862	-82.33889616	-34.16303952	NN	GSE13355
GSE13355|GSM337212	-1.602577438	-81.51910764	-40.53208085	NN	GSE13355
GSE13355|GSM337213	-3.037475334	-85.90330799	-31.71575336	NN	GSE13355
GSE13355|GSM337214	-3.5716809	-82.4915254	-38.19349814	NN	GSE13355
GSE13355|GSM337215	-1.615869787	-80.4611295	-35.68409712	NN	GSE13355
GSE13355|GSM337216	-6.983539965	-85.85240493	-23.39918242	NN	GSE13355
GSE13355|GSM337217	3.9765769111806	-82.03619499	-39.35221654	NN	GSE13355
GSE13355|GSM337218	2.26150681966755	-82.17284446	-48.75834854	NN	GSE13355
GSE13355|GSM337219	8.03510043254885	-72.44317918	-42.76312502	NN	GSE13355
GSE13355|GSM337220	7.91208177420429	-83.16393027	-50.78991276	NN	GSE13355
